,titles,links,dates,contents
81,[코멘트 : [이브이알스튜디오] 가즈아~~~~~~~ ],https://www.38.co.kr/html/forum/board/?o=v&code=379660&no=350,2021-07-28,가즈아~~~~~~~
82,[제목 : [이브이알스튜디오] 급등이 얼마 안 남았네요 ],https://www.38.co.kr/html/forum/board/?o=v&code=379660&no=351,2021-07-30,회사가 돈을 많이 벌고 있다고 하네요거기에 상장 이슈까지
83,[제목 : [이브이알스튜디오] 매물이 어디서 이렇게 끊임없이 나오는것이냐? ],https://www.38.co.kr/html/forum/board/?o=v&code=379660&no=352,2021-07-30,지친다 지쳐남들 다 갈때 내려가고 참 어이가 없군.
84,[코멘트 : [이브이알스튜디오] 상승 중 인데 자다가 왔나요 ],https://www.38.co.kr/html/forum/board/?o=v&code=379660&no=353,2021-07-30,상승 중 인데 자다가 왔나요
85,[제목 : [이브이알스튜디오] 상승 중 인데 자다가 왔나요 ],https://www.38.co.kr/html/forum/board/?o=v&code=379660&no=354,2021-07-30,고수중에 역차트로 보시는 분들 있음 ㅋㅋ
86,[제목 : [이브이알스튜디오] 8월 ],https://www.38.co.kr/html/forum/board/?o=v&code=379660&no=355,2021-08-02,기다리는 8월이네요.큰 거 한방 기대 합니다.
87,[제목 : [이브이알스튜디오] 8월 ],https://www.38.co.kr/html/forum/board/?o=v&code=379660&no=356,2021-08-02,5만원 이하로는 팔지 마세요ㅋ
88,[코멘트 : [이브이알스튜디오] 11800원에 거래 잘 되고 있네요 ],https://www.38.co.kr/html/forum/board/?o=v&code=379660&no=358,2021-08-03,11800원에 거래 잘 되고 있네요
89,[코멘트 : [이브이알스튜디오] 잡주가 아니니 거래 못하게 막음 ],https://www.38.co.kr/html/forum/board/?o=v&code=379660&no=360,2021-08-03,잡주가 아니니 거래 못하게 막음
90,[제목 : [이브이알스튜디오] 크레프톤 ],https://www.38.co.kr/html/forum/board/?o=v&code=379660&no=361,2021-08-06,지금 시장에서는 가장 강력한 제 2의 크레프톤으로 이브이알 스튜디오라고 통하고 있습니다.지금은 주가가 멀리 뛰기 위해 움츠리고 있는 상태입니다.9월이면 주관사 선정 및 대기업 관련 수주 공시 등 요즘 매출이 급증하고 있다고 합니다.엉덩이 무겁게 홀딩 하고 있으면 반드시 수익으로 보답할 이브이알
91,[코멘트 : [이브이알스튜디오] 메타버스 쪽 인거 같습니다 ],https://www.38.co.kr/html/forum/board/?o=v&code=379660&no=363,2021-08-06,메타버스 쪽 인거 같습니다.그 쪽으로도  파이프라인을 확장 중으로 압니다 
92,[코멘트 : [이브이알스튜디오] 요즈음 글로벌 기업들이 전부 메타버스로 전환 하면서 ],https://www.38.co.kr/html/forum/board/?o=v&code=379660&no=364,2021-08-06,요즈음 글로벌 기업들이 전부 메타버스로 전환 하면서 주도권 잡기에 열을 올리고 있습니다.세계 최고의 그래픽 기술을 보유한 이브이알 주주 분 들 광고 중에 신한 금융 광고 보신 적 있을겁니다.그거 디지털 휴먼 인 거 아시고 계실겁니다.그거 보다 더 뛰어난 기술 보유 기업이 바로 이브이알 스튜디오. 요즈음 돈을 잘 벌고 있는 쪽이 메타버스 쪽 일겁니다
93,[코멘트 : [이브이알스튜디오] 올인~~~~~~ ],https://www.38.co.kr/html/forum/board/?o=v&code=379660&no=365,2021-08-06,올인~~~~~~
94,[제목 : [이브이알스튜디오] 이제 9월이 10 거래 일도 안 남았네요 ],https://www.38.co.kr/html/forum/board/?o=v&code=379660&no=367,2021-08-18,"상장, 실적 , 대기업 관련 공지가"
